,seller,ovrall_rating,rating,date,desc,comment
0,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jul 11, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,a key doesn't work
1,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jul 11, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,"same games i purchace 2 and all wer the same
"
2,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 11, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,"all games was aprox 10$ so good deal 
"
3,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 10, 2019",User bought Minecraft: Windows 10 Edition Microsoft Key GLOBAL,had an issue with the key i purchased. contacted seller and they immediately fixed it.
4,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 09, 2019",User bought Minecraft: Windows 10 Edition Microsoft Key GLOBAL,"1st key was invalid, but after submitting a report, the seller had a quick turnaround to give me a new key that worked."
5,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jul 08, 2019",User bought Minecraft: Windows 10 Edition Microsoft Key GLOBAL,"key not valid
"
6,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 08, 2019",User bought Random 10 Keys Steam Key GLOBAL,
7,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 05, 2019",User bought Loren the Amazon Princess - Deluxe Version Steam Key GLOBAL,
8,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 05, 2019",User bought Scourge: Outbreak Ambrosia Bundle Steam Key GLOBAL,
9,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 05, 2019",User bought Wildlife Park 3 STEAM CD-KEY GLOBAL,
10,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 04, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,EVERTHING OK
11,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 03, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,
12,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 03, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,
13,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jul 03, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,Scammer 
14,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 03, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,"very nice guys so today guys we're ra
ting it 5 stars guys"
15,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 03, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,
16,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jul 02, 2019",User bought Minecraft: Windows 10 Edition Microsoft Key GLOBAL,
17,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jul 02, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,gave a free game code disappointed 
18,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 29, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,terrible games
19,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 27, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,
20,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 25, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,key doesnt work
21,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 25, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,I buy again and i have this ****
22,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 25, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,they aren't PREMIUM KEYS!!!
23,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 24, 2019",User bought Minecraft: Windows 10 Edition Microsoft Key GLOBAL,
24,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 22, 2019",User bought Transport Giant Steam Key GLOBAL,
25,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 21, 2019",User bought Random PREMIUM 1 Key Steam Key GLOBAL,
26,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 21, 2019",User bought Random 10 Keys Steam Key GLOBAL,
27,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 20, 2019",User bought Random PREMIUM 1 Key Steam Key GLOBAL,Very niceeeeee
28,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 18, 2019",User bought Injustice: Gods Among Us - Ultimate Edition Steam Key GLOBAL,
29,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 18, 2019",User bought Random 10 Keys Steam Key GLOBAL,Games are crap and duplicate from others
30,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 17, 2019",User bought Random 10 Keys Steam Key GLOBAL,it came with the appropriate number of keys but a couple were even BUNDLES! including 2 or more games! amazing offer! will purchase again!
31,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 16, 2019",User bought American Truck Simulator Steam Key GLOBAL,
32,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 09, 2019",User bought Minecraft: Windows 10 Edition Microsoft Key GLOBAL,
33,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 09, 2019",User bought Random 10 Keys Steam Key GLOBAL,
34,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 06, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,
35,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 06, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,"Pretty nice games, but one was under 8 euro's because it was on sale right now "
36,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 06, 2019",User bought Sword of the Stars Complete Collection Steam Key GLOBAL,Brought 2 copies; one for myself and one for my dad so we could play together
37,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 06, 2019",User bought Sword of the Stars Complete Collection Steam Key GLOBAL,Brought 2 copies; one for myself and one for my dad so we could play together
38,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 06, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,
39,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 06, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,
40,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 06, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,
41,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 05, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,
42,Odkbrseller,77%Positive feedback|2806,#icon-x,"Jun 05, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,Auto rate changed.
43,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 05, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,słabe gry
44,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 05, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,
45,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 05, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,"So I bought two of these steam key packs, and I got the same 3 games that I had on the last one. This leads me to believe that there is just a pool of keys that will have multiple keys of the same game, and then they are drawn and then given to the buyer. Not hating on your business ways, but cmon."
46,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 05, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,bad games
47,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 05, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,love the keys
48,Odkbrseller,77%Positive feedback|2806,#icon-negative,"Jun 04, 2019",User bought Random PREMIUM 5 Keys Steam Key GLOBAL,"bien les clé gratuite XD
"
49,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 04, 2019",User bought Five Nights at Freddy's: Sister Location Steam Key GLOBAL,
50,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 01, 2019",User bought Five Nights at Freddy's: Sister Location Steam Key GLOBAL,
51,Odkbrseller,77%Positive feedback|2806,#icon-positive,"Jun 01, 2019",User bought Random 10 Keys Steam Key GLOBAL,
